"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",138
"Unsafe storage of firearms",139
"Intimidation of a non-justice participant",140
"Altering, removing or destroying Vehicle Identification Number (VIN)",141
"Impaired operation (drugs), causing bodily harm",142
"Trespass at night",143
"Sexual offences, public morals and disorderly conduct (Part V Criminal Code)",144
"Incest",145
"Corrupting morals",146
"Total theft over $5,000 (non-motor vehicle)",147
"Stopping or impeding traffic for the purpose of offering, providing or obtaining sexual services for consideration",148
"Methylenedioxyamphetamine (ecstasy), production",149
"Unauthorized recording of a movie",150
"Causing death by criminal negligence while street racing",151
"Hoax terrorism",152
"Breaking and entering to steal a firearm",153
"Other offensive weapons",154
"Commit offence for criminal organization",155
"Cocaine, importation and exportation",156
"Weapons possession contrary to order",157
"Firearms and other offensive weapons (Part III Criminal Code)",158
"Unlawfully causing bodily harm",159
"Total other Federal Statutes",160
"Extortion",161
"Other Controlled Drugs and Substances Act, importation and exportation",162
"Sexual assault, level 2, weapon or bodily harm",163
"Disturb the peace",164
"Possession, cocaine",165
"Firearm transfers or serial numbers",166
"Total fail to stop or remain",167
"Dangerous operation causing death while street racing",168
"Total drug violations",169
"Public incitement of hatred",170
"Dangerous operation of motor vehicle while street racing",171
"Dangerous operation evading police, causing bodily harm",172
"Making, or distribution of child pornography",173
"Other violent violations",174
"Removal of children from Canada",175
"Obtaining sexual services for consideration from person under 18 years",176
"Methamphetamines (crystal meth), trafficking",177
"Recruitment of members by a criminal organization",178
"Other Controlled Drugs and Substances Act, trafficking",179
"Participate in activity of terrorist group",180
"Concealing person who is likely to carry out terrorist activity",181
"Advocating/Promoting terrorism offence",182
"Offences against the person and reputation (Part VIII Criminal Code)",183
"Cannabis, importation and exportation",184
"Shoplifting $5,000 or under",185
"Concealing person who carried out terrorist activity that is a terrorism offence for which that person is liable to imprisonment for life",186
"Invitation to sexual touching",187
"Total prostitution",188
"Indecent acts",189
"Impaired operation, failure to provide breath sample",190
"Facilitate terrorist activity",191
"Uttering threats",192
"Total administration of justice violations",193
"Other Criminal Code traffic violations",194
"Obstruct public or peace officer",195
"Advertising sexual services",196
"Other federal statutes",197
"Unauthorized importing or exporting of weapons",198
"Impaired operation of motor vehicle, vessel or aircraft",199
"Total breaking and entering",200
"Child pornography",201
"Total, possession, other Controlled Drugs and Substances Act drugs",202
"Infanticide",203
"Nonconsensual distribution of intimate images",204
"Total mischief",205
"Abduction under the age 14, not parent or guardian",206
"Sexual exploitation",207
"Escape or helps to escape from lawful custody",208
"Offences relating to currency (Part XII Criminal Code)",209
"Mischief relating to war memorials",210
"Leaving Canada to commit offence that is terrorist activity",211
"Dangerous operation evading police, causing death",212
"Breaking and entering",213
"Parent or guardian procuring sexual activity",214
"Obtains or communicates with a person under age 18 for purpose of sex",215
"Canada Health Act",216
"Instruct offence for criminal organization",217
"Manslaughter",218
"Other sexual violations",219
"Fraud",220
"Causing bodily harm by criminal negligence while street racing",221
"Homicide",222
"Failure to provide blood sample (drugs)",223
"Identity theft",224
"Luring a child via a computer",225
"Trafficking in persons",226
"Other Controlled Drugs and Substances Act, possession",227
"Parent or guardian procuring sexual activity: person procured under the age of 16 years",228
"Offences against rights of property (Part IX Criminal Code)",229
"Concealing person who carried out terrorist activity that is a terrorism offence for which that person is liable to any punishment other than life",230
"Dangerous operation causing bodily harm while street racing",231
"Youth Criminal Justice Act",232
"Total commodification of sexual activity violations",233
"Bestiality, commit or compel person",234
"Other violations against the administration of law and justice (Part IV Criminal Code)",235
"Impaired operation, failure to provide blood sample",236
"Criminal negligence causing death",237
"Bankruptcy Act",238
"Procuring",239
"Total Immigration and Refugee Protection Act",240
"Attempts, conspiracies, accessories (Part XIII Criminal Code)",241
"Explosives causing death or bodily harm",242
"Heroin, trafficking",243
"Break and enter to steal a firearm from a motor vehicle",244
"Intimidation of a justice system participant or a journalist",245
"Heroin, importation and exportation",246
"Disorderly houses, gaming and betting",247
"Total other assaults",248
"Driving while prohibited",249
"Pointing a firearm",250
"Hostage-taking",251
"Other violations related to gaming and betting",252
"Arson",253
